image_id,image_path,image_width,image_height,head_count,crowd_density,headwear_type,dataset_split,annotation_confidence,lighting
Festival_High_Lowlight_Test_001.jpg,data/images/Festival_High_Lowlight_Test_001.jpg,612,363,201,High,Mixed,Test,0.85,Low-light
Festival_Med_Day_Train_003.jpg,data/images/Festival_Med_Day_Train_003.jpg,612,378,101,Medium,Mixed,Train,0.85,Day
Festival_Low_Day_Train_001.jpg,data/images/Festival_Low_Day_Train_001.jpg,612,407,47,Low,Mixed,Train,0.85,Day
Festival_Low_Day_Test_001.jpg,data/images/Festival_Low_Day_Test_001.jpg,612,323,38,Low,Mixed,Test,0.85,Day
HinduGathering_High_Lowlight_Val_001.webp,data/images/HinduGathering_High_Lowlight_Val_001.webp,800,534,205,High,Mixed,Validation,0.85,Low-light
Prayagraj_Low_Day_Val_001.webp,data/images/Prayagraj_Low_Day_Val_001.webp,800,534,17,Low,Mixed,Validation,0.85,Day
KumbhMela_Low_Day_Test_002.jpg,data/images/KumbhMela_Low_Day_Test_002.jpg,686,386,46,Low,Mixed,Test,0.85,Day
KumbhMela_Low_Day_Train_001.jpg,data/images/KumbhMela_Low_Day_Train_001.jpg,253,199,16,Low,Mixed,Train,0.85,Day
KumbhMela_Low_Lowlight_Train_001.jpg,data/images/KumbhMela_Low_Lowlight_Train_001.jpg,276,182,9,Low,Mixed,Train,0.85,Low-light
KumbhMela_Low_Day_Train_002.jpg,data/images/KumbhMela_Low_Day_Train_002.jpg,275,183,11,Low,Mixed,Train,0.85,Day
KumbhMela_Low_Day_Train_003.jpg,data/images/KumbhMela_Low_Day_Train_003.jpg,299,168,18,Low,Mixed,Train,0.85,Day
KumbhMela_Med_Lowlight_Test_001.jpg,data/images/KumbhMela_Med_Lowlight_Test_001.jpg,275,183,54,Medium,Mixed,Test,0.85,Low-light
KumbhMela_Low_Day_Train_004.jpg,data/images/KumbhMela_Low_Day_Train_004.jpg,275,183,18,Low,Mixed,Train,0.85,Day
KumbhMela_Low_Lowlight_Train_002.jpg,data/images/KumbhMela_Low_Lowlight_Train_002.jpg,300,168,27,Low,Mixed,Train,0.85,Low-light
KumbhMela_Low_Day_Train_005.jpg,data/images/KumbhMela_Low_Day_Train_005.jpg,275,183,22,Low,Mixed,Train,0.85,Day
KumbhMela_High_Day_Val_001.avif,data/images/KumbhMela_High_Day_Val_001.avif,1200,900,200,High,Mixed,Validation,0.60,Day
Festival_Low_Day_Train_002.jpg,data/images/Festival_Low_Day_Train_002.jpg,612,408,43,Low,Mixed,Train,0.85,Day
Festival_Low_Day_Train_003.jpg,data/images/Festival_Low_Day_Train_003.jpg,612,408,50,Low,Mixed,Train,0.85,Day
Festival_High_Day_Train_002.jpg,data/images/Festival_High_Day_Train_002.jpg,408,612,251,High,Mixed,Train,0.85,Day
KumbhMela_High_Day_Val_002.webp,data/images/KumbhMela_High_Day_Val_002.webp,1500,1000,271,High,Mixed,Validation,0.85,Day
KumbhMela_High_Lowlight_Val_001.avif,data/images/KumbhMela_High_Lowlight_Val_001.avif,1200,800,200,High,Mixed,Validation,0.60,Low-light
KumbhMela_Med_Day_Train_002.jpg,data/images/KumbhMela_Med_Day_Train_002.jpg,700,467,116,Medium,Mixed,Train,0.85,Day
KumbhMela_High_Day_Val_003.avif,data/images/KumbhMela_High_Day_Val_003.avif,770,431,200,High,Mixed,Validation,0.60,Day
KumbhMela_High_Lowlight_Val_002.avif,data/images/KumbhMela_High_Lowlight_Val_002.avif,549,309,200,High,Mixed,Validation,0.60,Low-light
RamGhat_High_Day_Val_001.avif,data/images/RamGhat_High_Day_Val_001.avif,1200,630,200,High,Cap,Validation,0.60,Day
SadhuProcession_Low_Day_Val_001.webp,data/images/SadhuProcession_Low_Day_Val_001.webp,512,345,7,Low,Mixed,Validation,0.85,Day
KumbhMela_Low_Lowlight_Val_001.webp,data/images/KumbhMela_Low_Lowlight_Val_001.webp,545,307,50,Low,Mixed,Validation,0.85,Low-light
Festival_High_Day_Train_003.jpg,data/images/Festival_High_Day_Train_003.jpg,1450,1087,239,High,Mixed,Train,0.85,Day
KumbhMela_High_Day_Test_001.jpg,data/images/KumbhMela_High_Day_Test_001.jpg,700,467,166,High,Mixed,Test,0.85,Day
Prayagraj_Low_Day_Val_002.webp,data/images/Prayagraj_Low_Day_Val_002.webp,578,280,18,Low,Mixed,Validation,0.85,Day
Prayagraj_Low_Day_Val_003.webp,data/images/Prayagraj_Low_Day_Val_003.webp,392,280,7,Low,Mixed,Validation,0.85,Day
Prayagraj_Low_Day_Val_004.webp,data/images/Prayagraj_Low_Day_Val_004.webp,390,280,29,Low,Mixed,Validation,0.85,Day
KumbhMela_Low_Day_Train_006.jpg,data/images/KumbhMela_Low_Day_Train_006.jpg,911,683,37,Low,Mixed,Train,0.85,Day
Prayagraj_Low_Day_Train_001.jpg,data/images/Prayagraj_Low_Day_Train_001.jpg,1300,956,27,Low,Mixed,Train,0.85,Day
Simhastha_Med_Day_Test_001.jpg,data/images/Simhastha_Med_Day_Test_001.jpg,730,487,123,Medium,Mixed,Test,0.85,Day
Ujjain_Med_Day_Train_001.jpg,data/images/Ujjain_Med_Day_Train_001.jpg,650,400,82,Medium,Turban,Train,0.85,Day
Simhastha_High_Lowlight_Train_001.jpg,data/images/Simhastha_High_Lowlight_Train_001.jpg,6016,4016,1050,High,Mixed,Train,0.85,Low-light
Ujjain_High_Lowlight_Val_001.avif,data/images/Ujjain_High_Lowlight_Val_001.avif,1600,900,200,High,Turban,Validation,0.60,Low-light
KumbhMela_Low_Day_Train_007.jpg,data/images/KumbhMela_Low_Day_Train_007.jpg,1300,956,40,Low,Mixed,Train,0.85,Day
Ujjain_Med_Day_Train_002.jpg,data/images/Ujjain_Med_Day_Train_002.jpg,550,413,79,Medium,Turban,Train,0.85,Day
Ujjain_Med_Day_Val_001.webp,data/images/Ujjain_Med_Day_Val_001.webp,1200,630,92,Medium,Turban,Validation,0.85,Day
Ujjain_Med_Lowlight_Val_001.webp,data/images/Ujjain_Med_Lowlight_Val_001.webp,547,408,54,Medium,Turban,Validation,0.85,Low-light
sadhu21.jpg,data/images/sadhu21.jpg,548,364,257,High,Mixed,Train,0.85,Day
sadhu22.jpg,data/images/sadhu22.jpg,612,408,19,Low,Mixed,Train,0.85,Day
sadhu23.jpg,data/images/sadhu23.jpg,684,448,9,Low,Mixed,Train,0.85,Day
sadhu24.jpg,data/images/sadhu24.jpg,875,583,29,Low,Mixed,Train,0.85,Day
sadhu25.jpg,data/images/sadhu25.jpg,399,501,63,Medium,Mixed,Train,0.85,Day
sadhu26.jpg,data/images/sadhu26.jpg,399,501,90,Medium,Mixed,Train,0.85,Day
sadhu27.jpg,data/images/sadhu27.jpg,678,452,72,Medium,Mixed,Train,0.85,Day
sadhu28.jpg,data/images/sadhu28.jpg,600,450,21,Low,Mixed,Train,0.85,Day
sadhu29.jpg,data/images/sadhu29.jpg,556,359,12,Low,Mixed,Train,0.85,Day
sadhu30.jpg,data/images/sadhu30.jpg,460,316,16,Low,Mixed,Train,0.85,Day
sadhu31.jpg,data/images/sadhu31.jpg,500,453,14,Low,Mixed,Train,0.85,Day
sadhu32.jpg,data/images/sadhu32.jpg,600,315,89,Medium,Mixed,Train,0.85,Day
sadhu33.jpg,data/images/sadhu33.jpg,678,452,8,Low,Mixed,Train,0.85,Day
sadhu34.jpg,data/images/sadhu34.jpg,681,450,5,Low,Mixed,Train,0.85,Day
sadhu35.jpg,data/images/sadhu35.jpg,680,451,81,Medium,Mixed,Train,0.85,Day
sadhu36.jpg,data/images/sadhu36.jpg,684,449,78,Medium,Mixed,Train,0.85,Day
sadhu37.jpg,data/images/sadhu37.jpg,547,365,17,Low,Mixed,Train,0.85,Day
sadhu38.jpg,data/images/sadhu38.jpg,1280,960,5,Low,Mixed,Train,0.85,Day
sadhu39.jpg,data/images/sadhu39.jpg,1024,967,1,Low,Mixed,Train,0.85,Day
sadhu40.jpg,data/images/sadhu40.jpg,598,519,50,Low,Mixed,Train,0.85,Day
sadhu1.jpg,data/images/sadhu1.jpg,1200,800,110,Medium,Mixed,Train,0.85,Day
sadhu10.jpg,data/images/sadhu10.jpg,1200,798,8,Low,Mixed,Train,0.85,Day
sadhu11.jpg,data/images/sadhu11.jpg,612,453,63,Medium,Mixed,Train,0.85,Low-light
sadhu12.jpg,data/images/sadhu12.jpg,1280,720,13,Low,Mixed,Train,0.85,Day
sadhu13.jpg,data/images/sadhu13.jpg,612,408,19,Low,Mixed,Train,0.85,Day
sadhu14.jpg,data/images/sadhu14.jpg,679,451,105,Medium,Mixed,Train,0.85,Day
sadhu15.jpg,data/images/sadhu15.jpg,1300,954,15,Low,Mixed,Train,0.85,Day
sadhu16.jpg,data/images/sadhu16.jpg,1080,720,18,Low,Mixed,Train,0.85,Day
sadhu17.jpg,data/images/sadhu17.jpg,766,504,119,Medium,Mixed,Train,0.85,Day
sadhu18.jpg,data/images/sadhu18.jpg,557,550,40,Low,Mixed,Train,0.85,Day
sadhu19.jpg,data/images/sadhu19.jpg,1300,955,248,High,Mixed,Train,0.85,Day
sadhu2.jpg,data/images/sadhu2.jpg,547,365,104,Medium,Mixed,Train,0.85,Day
sadhu20.jpg,data/images/sadhu20.jpg,678,452,12,Low,Mixed,Train,0.85,Day
sadhu3.jpg,data/images/sadhu3.jpg,399,501,44,Low,Mixed,Train,0.85,Day
sadhu4.jpg,data/images/sadhu4.jpg,630,630,34,Low,Mixed,Train,0.85,Day
sadhu5.jpg,data/images/sadhu5.jpg,600,400,111,Medium,Mixed,Train,0.85,Day
sadhu6.jpg,data/images/sadhu6.jpg,640,480,42,Low,Mixed,Train,0.85,Day
sadhu7.jpg,data/images/sadhu7.jpg,900,600,93,Medium,Mixed,Train,0.85,Day
sadhu8.jpg,data/images/sadhu8.jpg,410,260,16,Low,Mixed,Train,0.85,Day
sadhu9.jpeg,data/images/sadhu9.jpeg,1336,888,303,High,Mixed,Train,0.85,Day
